fundRUNSeries,netPatrimony,providedFlow,rescuedFlow
8029-2LIQUIDEZ,21765439807.71233,112732455.01966356,109940991.16748545
8032-2APV,17900039853.39178,17008531.039804377,12561407.436516717
8032-2CLASICA,32798294591.531506,34809489.414205685,41711469.95134534
8032-2D,8616091505.216438,12631807.668739924,10970605.62498717
8032-2E,0.0,0.0,0.0
8032-2G,2732492692.7561646,2762966.5967629617,2489074.3707712805
8032-2INSTITUCIO,7129460501.323288,12244246.531027753,17931987.308449008
8032-2LARGOPLAZO,2862749738.0876713,2441902.4257741505,1225553.2278911157
8032-2LIQUIDEZ,19963750214.49863,50688581.138498925,64656105.587911524
8035-7A,33989760595.75,24093398.182612646,38846254.837411076
8035-7B,2000638520.3611112,173673.2863240086,315192.597193778
8035-7BCH,0.6388888888888888,0.0,164166939.68306872
8035-7D,19806468400.694443,5806599.582175387,38303587.52408154
8035-7E,677642479.2777778,0.0,206205225.1528262
8036-5APV,12893689.778082192,13.804570044712328,9821.502431952054
8036-5BCI,11909922312.241096,11593207265.532175,11483494665.55486
8036-5CLASI,250011606550.03836,130473072429.63545,129927423169.63452
8036-5FAMIL,0.0,0.0,0.0
8037-3A,214889535631.4685,51829149036.32743,52186680411.00452
8037-3ALPAT,0.0,0.0,0.0
8037-3APV,774434366.9643836,373111.1559502588,640363.030476476
8037-3APVC,0.0,0.0,0.0
8037-3CLASI,168359950047.95618,17424768045.572895,17475097931.413734
8037-3FAMIL,0.0,0.0,0.0
8037-3GAMMA,138873003.31506848,0.0,1627.862060591863
8037-3I,4291008916.183562,119585301.70070027,117094969.03754193
8038-1A,914320976.7369863,359816.2456840279,282602.5565232259
8038-1B,2254821176.841096,1183462.2037060044,1979211.5700175355
8038-1C,8981461262.956165,11448217.944845552,26789686.79817615
8038-1G,1897865705.339726,7549139.541068113,6773278.664345765
8038-1LP180,4543819791.479452,14284931.717687784,18584821.16240943
8038-1LP3,590447285.6164384,2787914.8967945394,2406547.643632515
